yo,gen_hi
Heya,gen_hi
Namaste,gen_hi
Hey,gen_hi
Great to see you!,gen_hi
Ssup,gen_hi
Whatup,gen_hi
Yo,gen_hi
hello,gen_hi
Howdy,gen_hi
hey there,gen_hi
Hey There!,gen_hi
Hello!,gen_hi
Hey there,gen_hi
Hey buddy !,gen_hi
Hi need support ,gen_hi
Hii,gen_hi
Heyo,gen_hi
Hello!,gen_hi
Hello there!,gen_hi
Hello There! ,gen_hi
Yo,gen_hi
Hii,gen_hi
what's up,gen_how_you
What's up,gen_how_you
Wassup,gen_how_you
How are you doing,gen_how_you
How's life treating you?,gen_how_you
How is life?,gen_how_you
How ya doin,gen_how_you
Sup,gen_how_you
how you doing?,gen_how_you
How do you do,gen_how_you
sup ?,gen_how_you
How do you do?,gen_how_you
How have you been?,gen_how_you
How are you doing,gen_how_you
I am great ! Thank you ! ,gen_how_you
Wassup,gen_how_you
How are you?,gen_how_you
What's new?,gen_how_you
How you doin?,gen_how_you
Wassup,gen_how_you
Okayisk,gen_how_you
who are you?,gen_who_you
What're you?,gen_who_you
Who am I talking to?,gen_who_you
Who are you?,gen_who_you
May I know the Identity of this person?,gen_who_you
What do you do here,gen_who_you
Who you,gen_who_you
who are u ?,gen_who_you
whats your name ?,gen_who_you
thou shall reveal yourself,gen_who_you
May I get your name pls?,gen_who_you
What do they call you,gen_who_you
Have I met you anywhere ?,gen_who_you
How abt you ,gen_who_you
Me! It’s me !,gen_who_you
Who dis,gen_who_you
May I know who you are?,gen_who_you
How can you help me?,gen_who_you
What's your name?,gen_who_you
Do I know u,gen_who_you
Me! It’s me !,gen_who_you
u a bot?,gen_bot
Are you an AI?,gen_bot
"You are a bot, aren't you?",gen_bot
Are you a bot,gen_bot
Are you a man made,gen_bot
"Say, you wouldn’t happen to be a bot would you?",gen_bot
Are you a computer?,gen_bot
am i talking to a bot?,gen_bot
You sound like a bot.,gen_bot
Are you real ? ,gen_bot
are you not a human?,gen_bot
Are you a bot perhaps?,gen_bot
Are you a robot,gen_bot
"You sound like a bot , are you ? ",gen_bot
R u robot,gen_bot
Are you a bot,gen_bot
Are you a bot?,gen_bot
Are you a robot?,gen_bot
Are you a bot?,gen_bot
Stupid bot,gen_bot
u a human?,gen_human
Are you a homo sapien?,gen_human
"I don't think you're a human, are you?",gen_human
Are you human,gen_human
"""What shape is created by straightening all your fingers, curling all fingers except thumb toward your palm on both hands, and putting your hands together so all fingers on one hand touch the respective finger on the other the hand",gen_human
Are you a living being,gen_human
Are you a person,gen_human
Do you have feelings?,gen_human
are you a person?,gen_human
"you're not a human, are you?",gen_human
are you flesh?,gen_human
"If you don't mind me asking, are you human?",gen_human
Are you one of us,gen_human
I don’t think you are a human or are you ?,gen_human
Or u r human,gen_human
hooman.?,gen_human
Are you human?,gen_human
Are you a person or a bot?,gen_human
"Humans amuse me, are you one?",gen_human
You're not human,gen_human
More than,gen_human
who made you?,gen_who_made
Who're your parents?,gen_who_made
Who created you?,gen_who_made
Who is your creator,gen_who_made
May i know the identity of you're creator/creators?,gen_who_made
What kind of organism are you,gen_who_made
Who art thy creator,gen_who_made
Who’re you’re parents,gen_who_made
who made you?,gen_who_made
who created you?,gen_who_made
who owns you ?,gen_who_made
who is your owner?,gen_who_made
Who is your creator?,gen_who_made
Who is your creator,gen_who_made
Who is your creator ? ,gen_who_made
Who made you ,gen_who_made
What master do you serve,gen_who_made
Who created you?,gen_who_made
Who created you? ,gen_who_made
Who made you?,gen_who_made
Bot specs,gen_who_made
That handsome guy named Harsh,gen_who_made
plis help,gen_help
Can I get some help?,gen_help
I want some help. Can you help me?,gen_help
Can you help me,gen_help
"If its not too much to ask , can you assist me?",gen_help
I need help,gen_help
I’m having a problem ,gen_help
I need a favour ,gen_help
can u help me?,gen_help
can you be of any help to me?,gen_help
would you help me ?,gen_help
could you please help me out here?,gen_help
I got a problem. Some help would be nice.,gen_help
Can you do me a favor,gen_help
Are you able to help me ?,gen_help
Need your help,gen_help
Can you help me ?,gen_help
Can you help me?,gen_help
I need assistance,gen_help
Please help me?,gen_help
Save me,gen_help
I am made for that,gen_help
quick question?,gen_query
Hey I had a question,gen_query
I have a question,gen_query
I wanted to ask something,gen_query
"i have a doubt lingering in my head, do you mind clarifying it for me ?",gen_query
I have a doubt,gen_query
Got a question for you,gen_query
I didn’t understand this,gen_query
i have doubt,gen_query
i might have a query,gen_query
i have a question to ask,gen_query
Actually I have some questions.,gen_query
I have a question,gen_query
I have a question ! ,gen_query
I can’t understand ,gen_query
I have a question,gen_query
I have a query,gen_query
I have some doubts,gen_query
Can you solve my doubt?,gen_query
Could u answer my doubts,gen_query
Go ahead ,gen_query
what is ieee,ieee_what
Can you tell me about IEEE,ieee_what
What is IEEE?,ieee_what
What is ieee,ieee_what
May i know what IEEE stands for?,ieee_what
What is IEEE,ieee_what
What even is ieee,ieee_what
Who is IEEE,ieee_what
what is IEEE basically,ieee_what
what is IEEE,ieee_what
IEEE who ?,ieee_what
what is IEEE?,ieee_what
What exactly is IEEE,ieee_what
What is this website,ieee_what
I want to know something about IEEE,ieee_what
What is ieee,ieee_what
What is IEEE,ieee_what
Can you tell me what IEEE is ?,ieee_what
Explain about IEEE,ieee_what
What is IEEE and what is it about?,ieee_what
IEEE?,ieee_what
My parents ,ieee_what
what does ieee do,ieee_what_does
What do you guys do,ieee_what_does
Does IEEE do something?,ieee_what_does
What does ieee do,ieee_what_does
what is the objective of IEEE?,ieee_what_does
What do you do,ieee_what_does
What do they do,ieee_what_does
What do you do at IEEE,ieee_what_does
what does IEEE do,ieee_what_does
what do the people who created you do?,ieee_what_does
what do they do?,ieee_what_does
What does the chapter contribute to?,ieee_what_does
What does IEEE do,ieee_what_does
I want to know what IEEE does !,ieee_what_does
What it does,ieee_what_does
What are IEEE's functions,ieee_what_does
What does IEEE do?,ieee_what_does
Tell me how IEEE works ,ieee_what_does
What does IEEE do?,ieee_what_does
What's IEEE actually do,ieee_what_does
Makes me,ieee_what_does
are all ieee's in vit same?,ieee_other_linked
Are clubs like ieee Cs branches of you guys?,ieee_other_linked
Is IEEE and IEEE-WIE the same?,ieee_other_linked
Are other ieees in vit linked to you in any way,ieee_other_linked
is there any difference between the various IEEE or does all the IEEE belong under one main Organization?,ieee_other_linked
There are many IEEE in VIT are they the same?,ieee_other_linked
Do the other IEEEs in VIT have anything to do with you,ieee_other_linked
Is this the same IEEE which i see in other colleges,ieee_other_linked
are other ieee chapters are way linked to you,ieee_other_linked
are all IEEEs in VIT headed by you?,ieee_other_linked
is IEEE-WIE part of IEEE ?,ieee_other_linked
are IEEE-CS and IEEE same?,ieee_other_linked
"There are so many IEEEs in VIT, are all of these linked to each other?",ieee_other_linked
Is the other IEEEs of VIT connected to this,ieee_other_linked
Are all IEEEs from VIT are interlinked ?,ieee_other_linked
Ais this  linked to vit,ieee_other_linked
Are the other IEEEs with specialisations linked to IEEE,ieee_other_linked
Are other IEEE chapters in VIT linked to yours?,ieee_other_linked
Does IEEE have different branches? ,ieee_other_linked
What about the IEEE offshoots,ieee_other_linked
how are other college ieee linked to you,ieee_other_college
Do you guys have any connection to other ieees,ieee_other_college
Does IEEE VIT work with other IEEEs around the world?,ieee_other_college
How are ieee's in other colleges linked to you,ieee_other_college
is there connections with various IEEEs across the world?,ieee_other_college
Are different IEEEs linked,ieee_other_college
Do you have anything to do with IEEEs in other colleges ,ieee_other_college
How are you connected to the other IEEEs,ieee_other_college
how many other college ieee are linked to you guys,ieee_other_college
what is the relation between IEEEs of other colleges and VIT's?,ieee_other_college
IEEE-srm and IEEE-VIT same?,ieee_other_college
How does IEEE VIT vellore communicate with IEEE in other colleges?,ieee_other_college
Does IEEE of other colleges connected to you,ieee_other_college
Are IEEEs from other colleges are linked with your’s?,ieee_other_college
How they are linked,ieee_other_college
How are IEEE chapters across colleges connected ?,ieee_other_college
How are the IEEEs of other colleges linked to yours?,ieee_other_college
Do you have links with IEEEs outside VIT? ,ieee_other_college
How IEEE of other colleges are linked with the IEEE in VIT?,ieee_other_college
What about the other colleges versions,ieee_other_college
since when has ieee been there,ieee_how_long
How old is this chapter,ieee_how_long
